,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
57237,GEST138,00,인간과동물,2019,2학기,2.8,1.0,4.2,3.4,4.7,2.7,
57238,GEST136,00,미생물과미래융합기술,2019,2학기,3.3,0.25,3.1,2.5,1.5,2.9,
57239,GEST133,00,식품과건강,2019,2학기,3.1,1.0,3.3,2.8,4.8,2.8,
57240,GEST114,00,건축학과미래사회,2019,2학기,3.7,0.5,3.1,3.1,3.1,3.8,
57241,GEST087,00,생명공학에서바라본인체의신비(영강),2019,2학기,4.0,1.0,1.7,2.0,4.8,2.7,
57242,GEST078,00,곰팡이와인간,2019,2학기,3.5,0.75,4.0,3.3,4.3,3.1,
57243,GEST071,00,생활속의생물학,2019,2학기,3.8,0.75,3.2,2.4,4.3,2.5,
57244,GEST065,00,性의과학적이해,2019,2학기,4.4,1.0,2.6,2.6,4.6,4.0,
57245,GEST045,00,인간과식량,2019,2학기,4.2,0.5,2.8,2.6,3.5,3.6,
57246,GEST044,00,생물자원의산업적응용 추석이후 대강당 김양현홀로 강의실 변경예정(9.3),2019,2학기,3.4,1.0,3.5,3.1,4.7,3.0,
57247,GEST029,00,자연재해의이해,2019,2학기,3.7,0.5,2.6,2.6,2.9,2.5,
57248,GEST024,00,생물학적인간 NeMo Class추석이후 대강당 아주홀로 강의실 변경예정(9.3),2019,2학기,4.1,1.0,4.1,3.4,4.6,4.1,
57249,GEST015,00,"생명의이해 생명과학대학(식품자원경제학과 제외), 보건과학대학(보건행정 제외), 의과대학, 간호대학 수강 불가(단, 재수강 학생은 제외)",2019,2학기,3.5,0.75,3.1,3.2,4.1,3.3,
57255,IFLS014,I1,ACADEMIC ENGLISHⅡ(영강) International Students Only(Intermediate),2019,2학기,3.7,1.0,3.7,3.2,4.8,3.8,
57260,IFLS013,Z1,ACADEMIC ENGLISHⅠ(영강) International Students Only(Foundation),2019,2학기,3.9,1.0,2.9,3.0,4.6,3.0,
